Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore
2024-12-21,5.1805525,553641.666666667,808557.857142857,-0.397050604383698
2024-12-22,3.6082103,520692,948578.428571429,-0.447142704046028
2024-12-23,4.1014605,1143897,1021510.57142857,0.500291674755853
2024-12-24,6.190678,1767102,1093241.12380952,1.44772605355773
2024-12-25,5.661362,1448584,1163770.08571429,0.963495497854206
2024-12-26,5.0302486,1130066,1233097.45714286,0.479264942150677
2024-12-27,4.471991,1088705.2,1207486.85714286,0.416385722865291
2024-12-28,3.3654454,1047344.4,1086938.28571429,0.353506503579906
2024-12-29,4.0898857,1005983.6,1024003.85714286,0.29062728429452
2024-12-30,3.668188,964622.8,1018683.57142857,0.227748065009134
2024-12-31,4.281559,923262,1006933.92380952,0.164868845723748
2025-01-01,3.1790915,1008043,988754.914285714,0.293758110202054
2025-01-02,3.4615574,1092824,964146.542857143,0.422647374680359
2025-01-03,5.0831347,1006457.66666667,926674.428571429,0.291347989452283
2025-01-04,6.2125955,920091.333333333,876338.571428572,0.160048604224208
2025-01-05,3.9328778,833725,857377.357142857,0.028749218996132
2025-01-06,6.417422,702318,869790.785714286,-0.171023744017995
2025-01-07,9.846207,570911,850620.5,-0.370796707032121
2025-01-08,11.214318,875314.5,799866.5,0.0919761220170976
2025-01-09,5.4328876,1179718,717528.785714286,0.554748951066316
2025-01-10,5.5192266,872265.666666667,677589.428571429,0.0873410990066322
2025-01-11,5.801981,564813.333333333,680048.428571429,-0.380066753053052
2025-01-12,5.109823,257361,621504.5,-0.847474605112737
2025-01-13,7.488857,422742.5,501957.642857143,-0.596051528087001
2025-01-14,6.6353855,588124,483366.452380952,-0.344628451061266
2025-01-15,5.348062,465507,565730.928571429,-0.531038318160455
2025-01-16,5.527853,342890,749051.071428572,-0.717448185259645
2025-01-17,6.8636584,742127.333333333,875593.928571429,-0.1105031593032
2025-01-18,5.1427894,1141364.66666667,945359.5,0.496441866653245
2025-01-19,4.0350986,1540602,1005689.14285714,1.10338689260969
2025-01-20,6.7382226,1308542.5,1056582.85714286,0.750595839541157
2025-01-21,8.680917,1076483,1070941.14285714,0.397804786472624
2025-01-22,4.07768,887814.5,1048764,0.11097938697008
2025-01-23,7.9972205,699146,990051.428571429,-0.175846012532464
2025-01-24,5.610865,842635.333333333,932174.785714286,0.0422952530083501
2025-01-25,13.672202,986124.666666667,875134.071428572,0.260436518549164
2025-01-26,9.8872595,1129614,849007,0.478577784089977
2025-01-27,5.717424,903406,853793.571428572,0.134682539411234
2025-01-28,6.562282,677198,830642.352380952,-0.209212705267508
2025-01-29,6.8036475,704925,779553.342857143,-0.167060423079401
2025-01-30,6.1325393,732652,700526.542857143,-0.124908140891293
2025-01-31,5.8408737,680576.8,646375.857142857,-0.204076046737657
2025-02-01,3.877116,628501.6,617101.285714286,-0.283243952584022
2025-02-02,4.586565,576426.4,581635.571428572,-0.362411858430387
2025-02-03,4.8125877,524351.2,539978.714285714,-0.441579764276752
2025-02-04,5.509994,472276,505175.6,-0.520747670123116
2025-02-05,6.433807,456665,477226.228571429,-0.544480467657597
2025-02-06,7.2202415,441054,456130.6,-0.568213265192078
2025-02-07,9.663287,436955,441888.714285714,-0.57444481583546
2025-02-08,6.3457828,432856,434500.571428571,-0.580676366478842
2025-02-09,3.5825584,428757,428757,-0.586907917122224
2025-02-10,6.8079963,424658,424658,-0.593139467765606
2025-02-11,10.23727,420559,427835.190476191,-0.599371018408988
2025-02-12,11.956183,416460,438288.571428571,-0.60560256905237
2025-02-13,17.612131,412361,456018.142857143,-0.611834119695753
2025-02-14,11.725086,459195.333333333,468686.142857143,-0.540633700077382
2025-02-15,5.5248284,506029.666666667,476292.571428571,-0.46943328045901
2025-02-16,4.1527557,552864,478837.428571429,-0.398232860840639
2025-02-17,6.069952,513334,476320.714285714,-0.458328785927952
2025-02-18,6.6145515,473804,467618.866666667,-0.518424711015264
2025-02-19,3.9182081,434274,452731.885714286,-0.578520636102576
2025-02-20,4.6347747,394744,431659.771428571,-0.638616561189888
2025-02-21,3.544595,398282.4,416740.285714286,-0.633237268973117
2025-02-22,3.9027395,401820.8,407973.428571429,-0.627857976756347
2025-02-23,3.862338,405359.2,401238.5,-0.622478684539576
2025-02-24,4.5414624,408897.6,396535.5,-0.617099392322805
2025-02-25,3.8670626,412436,392428.157142857,-0.611720100106035
2025-02-26,3.413006,387129.5,388916.471428571,-0.650192590068647
2025-02-27,4.504477,361823,386000.442857143,-0.688665080031259
2025-02-28,7.117274,369531,383680.071428571,-0.676946906730652
2025-03-01,6.6629295,377239,381955.357142857,-0.665228733430045
2025-03-02,11.851895,384947,403275.142857143,-0.653510560129438
2025-03-03,17.140623,392655,447639.428571429,-0.64179238682883
2025-03-04,7.387545,400363,483614.476190476,-0.630074213528223
2025-03-05,5.2094173,536368,511200.285714286,-0.423311089533792
2025-03-06,17.172394,672373,530396.857142857,-0.21654796553936
2025-03-07,8.5964575,621356.333333333,577356.928571429,-0.294106624234133
2025-03-08,5.5911045,570339.666666667,652080.5,-0.371665282928906
2025-03-09,4.3233705,519323,704279.642857143,-0.449223941623679
2025-03-10,5.2229934,721375.5,733954.357142857,-0.142051366270677
2025-03-11,13.441044,923428,767822.023809524,0.165121209082324
2025-03-12,13.309642,901762,805882.642857143,0.132183230004618
2025-03-13,18.16025,880096,848136.214285714,0.0992452509269125
2025-03-14,13.791636,858430,858430,0.0663072718492068
2025-03-15,8.197211,836764,836764,0.0333692927715011
2025-03-16,4.1432457,815098,819128.142857143,0.00043131369379548
2025-03-17,7.435883,793432,805522.428571429,-0.0325066653839102
2025-03-18,10.907865,771766,788980.761904762,-0.0654446444616159
2025-03-19,4.4731812,778311,769503.142857143,-0.0554945349322342
2025-03-20,4.791495,784856,747089.571428572,-0.0455444254028525
2025-03-21,3.772334,742638.333333333,726146.278911565,-0.109726305831922
2025-03-22,5.4303966,700420.666666667,706673.265306123,-0.173908186260991
2025-03-23,4.6402164,658203,684640.387755102,-0.238090066690061
2025-03-24,4.4126773,646828.952380952,660047.646258503,-0.255381589929469
2025-03-25,5.120891,635454.904761905,639861.136054422,-0.272673113168877
2025-03-26,5.6677914,624080.857142857,624080.857142857,-0.289964636408285
2025-03-27,7.2797904,612706.80952381,612706.80952381,-0.307256159647694
2025-03-28,8.337561,601332.761904762,601332.761904762,-0.324547682887102
2025-03-29,7.648209,589958.714285714,589958.714285714,-0.34183920612651
2025-03-30,6.2577662,578584.666666667,578584.666666667,-0.359130729365918
2025-03-31,8.734107,567210.619047619,567210.619047619,-0.376422252605327
2025-04-01,16.11939,555836.571428572,555836.571428572,-0.393713775844735
